[Sun Feb 14 20:35:52 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:35:52 2021] [warn] pid file W:/usr/local/apache/logs/httpd.pid overwritten -- Unclean shutdown of previous Apache run?
[Sun Feb 14 20:35:52 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:35:52 2021] [notice] Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/1.0.1c PHP/5.3.13 configured -- resuming normal operations
[Sun Feb 14 20:35:52 2021] [notice] Server built: Apr 20 2012 18:42:30
[Sun Feb 14 20:35:52 2021] [notice] Parent: Created child process 2744
[Sun Feb 14 20:35:52 2021] [notice] Disabled use of AcceptEx() WinSock2 API
[Sun Feb 14 20:35:52 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:35:53 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:35:53 2021] [notice] Child 2744: Child process is running
[Sun Feb 14 20:35:53 2021] [notice] Child 2744: Acquired the start mutex.
[Sun Feb 14 20:35:53 2021] [notice] Child 2744: Starting 25 worker threads.
[Sun Feb 14 20:35:53 2021] [notice] Child 2744: Listening on port 443.
[Sun Feb 14 20:35:53 2021] [notice] Child 2744: Listening on port 80.
[Sun Feb 14 20:35:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:35:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:35:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:35:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:35:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:35:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:35:57 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/favicon.ico, referer: http://localhost/
[Sun Feb 14 20:36:01 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:36:01 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:36:01 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:36:01 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:36:01 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
